"javamajor","javaversion","released","expired"
7,"1.7.0_07","2012-08-30","2012-10-16"
7,"1.7.0_09","2012-10-16","2012-12-11"
7,"1.7.0_10","2012-12-11","2013-01-13"
7,"1.7.0_11","2013-01-13","2013-02-01"
7,"1.7.0_13","2013-02-01","2013-02-19"
7,"1.7.0_15","2013-02-19","2013-03-04"
7,"1.7.0_17","2013-03-04","2013-04-16"
7,"1.7.0_21","2013-04-16","2013-06-18"
7,"1.7.0_25","2013-06-18","2013-09-10"
7,"1.7.0_40","2013-09-10","2013-10-15"
7,"1.7.0_45","2013-10-15","2014-01-14"
7,"1.7.0_51","2014-01-14","2014-04-15"
7,"1.7.0_55","2014-04-15","2014-05-28"
7,"1.7.0_60","2014-05-28","2014-07-15"
7,"1.7.0_65","2014-07-15","2014-08-04"
7,"1.7.0_67","2014-08-04","2014-10-14"
7,"1.7.0_71","2014-10-14","2014-10-14"
7,"1.7.0_72","2014-10-14","2015-01-20"
7,"1.7.0_75","2015-01-20","2015-01-20"
7,"1.7.0_76","2015-01-20","2015-04-14"
7,"1.7.0_79","2015-04-14","2015-04-14"
7,"1.7.0_80","2015-04-14","2015-07-15"
7,"1.7.0_85","2015-07-15","2015-10-20"
7,"1.7.0_91","2015-10-20","2016-01-19"
7,"1.7.0_95","2016-01-19","2016-02-05"
7,"1.7.0_97","2016-02-05","2016-03-23"
7,"1.7.0_99","2016-03-23","2016-01-01"
8,"1.8.0","2014-03-18","2014-04-15"
8,"1.8.0_05","2014-04-15","2014-07-15"
8,"1.8.0_11","2014-07-15","2014-08-19"
8,"1.8.0_20","2014-08-19","2014-10-14"
8,"1.8.0_25","2014-10-14","2015-01-19"
8,"1.8.0_31","2015-01-19","2015-03-03"
8,"1.8.0_40","2015-03-03","2015-04-14"
8,"1.8.0_45","2015-04-14","2015-07-14"
8,"1.8.0_51","2015-07-14","2015-08-18"
8,"1.8.0_60","2015-08-18","2015-10-20"
8,"1.8.0_65","2015-10-20","2015-11-16"
8,"1.8.0_66","2015-11-16","2016-01-19"
8,"1.8.0_71","2016-01-19","2016-01-19"
8,"1.8.0_72","2016-01-19","2016-02-03"
8,"1.8.0_73","2016-02-03","2016-02-03"
8,"1.8.0_74","2016-02-03","2016-03-23"
8,"1.8.0_77","2016-03-23","2016-01-01"
