"Africa/Abidjan",0.00
"Africa/Accra",0.00
"Africa/Addis_Ababa",3.00
"Africa/Algiers",1.00
"Africa/Asmara",3.00
"Africa/Asmera",3.00
"Africa/Bamako",0.00
"Africa/Bangui",1.00
"Africa/Banjul",0.00
"Africa/Bissau",0.00
"Africa/Blantyre",2.00
"Africa/Brazzaville",1.00
"Africa/Bujumbura",2.00
"Africa/Cairo",2.00
"Africa/Casablanca",1.00
"Africa/Ceuta",2.00
"Africa/Conakry",0.00
"Africa/Dakar",0.00
"Africa/Dar_es_Salaam",3.00
"Africa/Djibouti",3.00
"Africa/Douala",1.00
"Africa/El_Aaiun",1.00
"Africa/Freetown",0.00
"Africa/Gaborone",2.00
"Africa/Harare",2.00
"Africa/Johannesburg",2.00
"Africa/Juba",3.00
"Africa/Kampala",3.00
"Africa/Khartoum",3.00
"Africa/Kigali",2.00
"Africa/Kinshasa",1.00
"Africa/Lagos",1.00
"Africa/Libreville",1.00
"Africa/Lome",0.00
"Africa/Luanda",1.00
"Africa/Lubumbashi",2.00
"Africa/Lusaka",2.00
"Africa/Malabo",1.00
"Africa/Maputo",2.00
"Africa/Maseru",2.00
"Africa/Mbabane",2.00
"Africa/Mogadishu",3.00
"Africa/Monrovia",0.00
"Africa/Nairobi",3.00
"Africa/Ndjamena",1.00
"Africa/Niamey",1.00
"Africa/Nouakchott",0.00
"Africa/Ouagadougou",0.00
"Africa/Porto-Novo",1.00
"Africa/Sao_Tome",0.00
"Africa/Timbuktu",0.00
"Africa/Tripoli",2.00
"Africa/Tunis",1.00
"Africa/Windhoek",2.00
"America/Adak",-9.00
"America/Anchorage",-8.00
"America/Anguilla",-4.00
"America/Antigua",-4.00
"America/Araguaina",-3.00
"America/Argentina/Buenos_Aires",-3.00
"America/Argentina/Catamarca",-3.00
"America/Argentina/ComodRivadavia",-3.00
"America/Argentina/Cordoba",-3.00
"America/Argentina/Jujuy",-3.00
"America/Argentina/La_Rioja",-3.00
"America/Argentina/Mendoza",-3.00
"America/Argentina/Rio_Gallegos",-3.00
"America/Argentina/Salta",-3.00
"America/Argentina/San_Juan",-3.00
"America/Argentina/San_Luis",-3.00
"America/Argentina/Tucuman",-3.00
"America/Argentina/Ushuaia",-3.00
"America/Aruba",-4.00
"America/Asuncion",-4.00
"America/Atikokan",-5.00
"America/Atka",-9.00
"America/Bahia",-3.00
"America/Bahia_Banderas",-6.00
"America/Barbados",-4.00
"America/Belem",-3.00
"America/Belize",-6.00
"America/Blanc-Sablon",-4.00
"America/Boa_Vista",-4.00
"America/Bogota",-5.00
"America/Boise",-6.00
"America/Buenos_Aires",-3.00
"America/Cambridge_Bay",-6.00
"America/Campo_Grande",-4.00
"America/Cancun",-5.00
"America/Caracas",-4.50
"America/Catamarca",-3.00
"America/Cayenne",-3.00
"America/Cayman",-4.00
"America/Chicago",-5.00
"America/Chihuahua",-7.00
"America/Coral_Harbour",-5.00
"America/Cordoba",-3.00
"America/Costa_Rica",-6.00
"America/Creston",-7.00
"America/Cuiaba",-4.00
"America/Curacao",-4.00
"America/Danmarkshavn",0.00
"America/Dawson",-7.00
"America/Dawson_Creek",-7.00
"America/Denver",-6.00
"America/Detroit",-4.00
"America/Dominica",-4.00
"America/Edmonton",-6.00
"America/Eirunepe",-5.00
"America/El_Salvador",-6.00
"America/Ensenada",-7.00
"America/Fort_Nelson",-7.00
"America/Fort_Wayne",-4.00
"America/Fortaleza",-3.00
"America/Glace_Bay",-3.00
"America/Godthab",-2.00
"America/Goose_Bay",-3.00
"America/Grand_Turk",-4.00
"America/Grenada",-4.00
"America/Guadeloupe",-4.00
"America/Guatemala",-6.00
"America/Guayaquil",-5.00
"America/Guyana",-4.00
"America/Halifax",-3.00
"America/Havana",-4.00
"America/Hermosillo",-7.00
"America/Indiana/Indianapolis",-4.00
"America/Indiana/Knox",-5.00
"America/Indiana/Marengo",-4.00
"America/Indiana/Petersburg",-4.00
"America/Indiana/Tell_City",-5.00
"America/Indiana/Vevay",-4.00
"America/Indiana/Vincennes",-4.00
"America/Indiana/Winamac",-4.00
"America/Indianapolis",-4.00
"America/Inuvik",-6.00
"America/Iqaluit",-4.00
"America/Jamaica",-5.00
"America/Jujuy",-3.00
"America/Juneau",-8.00
"America/Kentucky/Louisville",-4.00
"America/Kentucky/Monticello",-4.00
"America/Knox_IN",-5.00
"America/Kralendijk",-4.00
"America/La_Paz",-4.00
"America/Lima",-5.00
"America/Los_Angeles",-7.00
"America/Louisville",-4.00
"America/Lower_Princes",-4.00
"America/Maceio",-3.00
"America/Managua",-6.00
"America/Manaus",-4.00
"America/Marigot",-4.00
"America/Martinique",-4.00
"America/Matamoros",-5.00
"America/Mazatlan",-7.00
"America/Mendoza",-3.00
"America/Menominee",-5.00
"America/Merida",-6.00
"America/Metlakatla",-8.00
"America/Mexico_City",-6.00
"America/Miquelon",-2.00
"America/Moncton",-3.00
"America/Monterrey",-6.00
"America/Montevideo",-3.00
"America/Montreal",-4.00
"America/Montserrat",-4.00
"America/Nassau",-4.00
"America/New_York",-4.00
"America/Nipigon",-4.00
"America/Nome",-8.00
"America/Noronha",-2.00
"America/North_Dakota/Beulah",-5.00
"America/North_Dakota/Center",-5.00
"America/North_Dakota/New_Salem",-5.00
"America/Ojinaga",-6.00
"America/Panama",-5.00
"America/Pangnirtung",-4.00
"America/Paramaribo",-3.00
"America/Phoenix",-7.00
